nokontrak;Merk;ModelName;Tipe;Tahun;Warna;cc;KodeDaerah;BalaiLelang;lokasi;Transmisi;kilometer1;kilometer2;SaleDate;saleprice;grade_overrall_csis;note_csis;Brand_Norm;Model_Norm;Transmission_Norm;Year;CC_Norm;Type_Norm;lelang_price;main_type_Norm;type_tags_Norm
1441702856001;DAIHATSU;AYLA;AYLA 1.0 X MT (B100RS GMQFJ);2018;MERAH SOLID;998;DD;JBA MAKASSAR;MAKASSAR;MANUAL;67455;60k-100k;2025-04-17;77500000;VERY_GOOD;kelengkapan kendaraan tidak lengkap |cover towing depan tidak ada. accu rusak (Soak);daihatsu;ayla;manual;2016;1;x b100rs gmqfj;51500000;X;
1441702906001;DAIHATSU;SIGRA;SIGRA B401RS-GMZFJ 1.2 R MT;2022;PUTIH;1200;DP;JBA MAKASSAR;MAKASSAR;MANUAL;34044;30k-60k;2025-10-07;115500000;GOOD;kelengkapan kendaraan tidak lengkap |bemper depan rusak, pintu bagasi belakang penyok.;daihatsu;sigra;manual;2018;1.2;b401rs gmzfj r;85500000;R;
1441702979001;HONDA;FREED;FREED GB 3 1.5 E A/T (CKD);2011;ABU ABU METAL METALIK;1496;DD;CAREADY MAKASSAR;MAKASSAR;AUTOMATIC;193700;>100k;2025-08-08;88500000;GOOD;TIDAK ADA BARANG KONSUMEN|BODI KANAN BARET, BEMPER BELAKANG BARET DAN CAT TERKELUPAS;honda;freed;automatic;2011;1.5;gb 3 e a t ckd;97500000;3;
1441703055001;HONDA;JAZZ;JAZZ GK5 1.5 RS CVT CKD;2015;MERAH;1500;DD;JBA MAKASSAR;MAKASSAR;AUTOMATIC;163469;>100k;2026-05-07;140000000;GOOD;kelengkapan kendaraan tidak lengkap |pegangan pintu bagasi rusak, baret pada bemper depan, cover towing depan tidak ada, accu soak, kursi sudah di modif, vilar bodyy bagasi tidak ada (kap bagasi).;honda;jazz;automatic;2016;1.5;gk5 rs cvt ckd;137000000;RS;cvt
1450005770001;HONDA;MOBILIO;MOBILIO E CVT;2017;PUTIH;1500;B;JBA BANJARMASIN;BANJARMASIN;AUTOMATIC;134231;>100k;2025-06-03;84000000;GOOD;ACCU DROP, KULIT JOK VARIASI, FISIK PLAT TIDAK ADA, BAN SEREP BAIK TAPI 1 BAN UTAMAN PECAH|BARET DI BEMPER DEPAN & BELAKANG, SPAKBOR KANAN, LIST KANAN & COVER SPION LUAR, ATAP MOBIL DI LAPISI CUTTING STIKER;honda;mobilio;automatic;2017;1.5;e cvt;93500000;E;cvt
1450009468001;HONDA;BRIO;BRIO SATYA 1.2 E CVT;2022;KUNING PEKAT;1198;B;IBID PEKANBARU;PEKANBARU;AUTOMATIC;26564;<30k;2025-12-20;130000000;GOOD;Accu soak,  Mika spion kiri baret kasar,  Bemper depan dan belakang baret kasar,  Power window depan kiri rusak,  Ban serap hanya velg,  Interior dan eksterior kotor. |;honda;brio;automatic;2017;1.2;satya e cvt;84000000;E;cvt, satya
1450009597001;HONDA;CITY;CITY HB 1.5L RS CVT;2022;PUTIH PLATINUM MUTIARA;1500;B;IBID JAKARTA;JAKARTA;AUTOMATIC;52910;30k-60k;2025-06-07;189500000;VERY_GOOD;bmpr dpn&blkg brt pnyk, kap msn brt, atap brt, body kanan&kiri brt pnyk, bagasi brt, spakbor brt pnyk|;honda;city;automatic;2023;1.5;hb rs cvt;181000000;RS;cvt
1450009991001;SUZUKI;NEW CARRY;NEW CARRY 1.5 PU FD;2022;ABU ABU METALIK;1500;B;TRIBIK PALANGKARAYA;PALANGKARAYA;MANUAL;46836;30k-60k;2025-09-30;46000000;GOOD;Bemper grill depan tidak ada. kap mesin pintu kiri kanan penyok dan dicat ulang. lampu depan kanan pecah diikat tali. pintu kiri kanan bagian dalam baret. tambahan besi pengunci pintu bak dan kayu tali pada bak. variasi sarung jok dan handle pintu.|nopol depan belakang tidak ada. body full baret. bak kotor baret penyok berkarat. alas pijakan mobil tidak ada. kaca depan retak. talang air pintu kanan pecah. ban belakang ban rimba. body interior kotor.;suzuki;carry;manual;2024;1.5;new pu fd;87000000;Pick Up;flat deck
1450010135001;HYUNDAI;STARGAZER;STARGAZER 1.5 IVT 6P TWO TONE CAPTAIN SEAT;2023;PUTIH;1500;B;TRIBIK JAKARTA;JAKARTA;MANUAL;47626;30k-60k;2025-09-30;165000000;GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, spion baret2, atap baret2, brg2 kons tdk ada|;hyundai;stargazer;manual;2023;1.5;ivt 6p two tone captain seat;165000000;;captain seat, ivt, two tone
1450010490001;HONDA;BRIO;BRIO RS CVT;2023;HIJAU LIME METALIK;1200;B;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;9331;<30k;2025-03-21;175500000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, atap baret2, spion baret2, kap msn baret2, brg2 kosn tdk ada|;honda;brio;automatic;2024;1.2;rs cvt;179500000;RS;cvt
